fuente,ruta_completa,ruta_relativa,nombre_archivo,extension,tamano_kb,folio_principal,folios_multiples,n_folios_detectados,categoria,folio_match,n_matches
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 58841 AGRUP CULTURAL DE ARTESANAS MANOS AMIGAS.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 58841 AGRUP CULTURAL DE ARTESANAS MANOS AMIGAS.pdf,FRR 58841 AGRUP CULTURAL DE ARTESANAS MANOS AMIGAS.pdf,.pdf,190.8,58841,,1,rendicion,58841,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 58899 COMITE DE HORT GM DE PUERTO IBAÑEZ.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 58899 COMITE DE HORT GM DE PUERTO IBAÑEZ.pdf,FRR 58899 COMITE DE HORT GM DE PUERTO IBAÑEZ.pdf,.pdf,211.6,58899,,1,rendicion,58899,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 59478 TALLER ART CAMPESINO S Y C RAICES DE MAÑIHUALES.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 59478 TALLER ART CAMPESINO S Y C RAICES DE MAÑIHUALES.pdf,FRR 59478 TALLER ART CAMPESINO S Y C RAICES DE MAÑIHUALES.pdf,.pdf,172.9,59478,,1,rendicion,59478,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 59609 comité recolectoras las collallas.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 59609 comité recolectoras las collallas.pdf,FRR 59609 comité recolectoras las collallas.pdf,.pdf,189.7,59609,,1,rendicion,59609,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 59796 Fundación Juntos Por Aysén.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 59796 Fundación Juntos Por Aysén.pdf,FRR 59796 Fundación Juntos Por Aysén.pdf,.pdf,182.4,59796,,1,rendicion,59796,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 59888 CLUB DE ADULTOS MAYORES EL CONDOR.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 59888 CLUB DE ADULTOS MAYORES EL CONDOR.pdf,FRR 59888 CLUB DE ADULTOS MAYORES EL CONDOR.pdf,.pdf,236.0,59888,,1,rendicion,59888,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 59925 Red de Profesores de E FY téc deportivos de Aysén.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 59925 Red de Profesores de E FY téc deportivos de Aysén.pdf,FRR 59925 Red de Profesores de E FY téc deportivos de Aysén.pdf,.pdf,253.5,59925,,1,rendicion,59925,1
respaldos,"D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 59994 Agrup social, cultural y dep colectivo Cheelkenue.pdf","AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 59994 Agrup social, cultural y dep colectivo Cheelkenue.pdf","FRR 59994 Agrup social, cultural y dep colectivo Cheelkenue.pdf",.pdf,220.6,59994,,1,rendicion,59994,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 60001 Fundación Raíces Vivas.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 60001 Fundación Raíces Vivas.pdf,FRR 60001 Fundación Raíces Vivas.pdf,.pdf,237.3,60001,,1,rendicion,60001,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 60038 Agrup. de fam y amigos de los enf post el Sueño de Carol.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 60038 Agrup. de fam y amigos de los enf post el Sueño de Carol.pdf,FRR 60038 Agrup. de fam y amigos de los enf post el Sueño de Carol.pdf,.pdf,178.5,60038,,1,rendicion,60038,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 60090 Club deportivo arbitros coyhaique ANFA.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 60090 Club deportivo arbitros coyhaique ANFA.pdf,FRR 60090 Club deportivo arbitros coyhaique ANFA.pdf,.pdf,183.6,60090,,1,rendicion,60090,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 60199 CAM BAJANDO PA PUERTO AYSEN.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\02. RENDICIÓN\FRR 60199 CAM BAJANDO PA PUERTO AYSEN.pdf,FRR 60199 CAM BAJANDO PA PUERTO AYSEN.pdf,.pdf,251.8,60199,,1,rendicion,60199,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\1 57995 Asociación TEAcompañamos.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\1 57995 Asociación TEAcompañamos.pdf,1 57995 Asociación TEAcompañamos.pdf,.pdf,603.9,57995,,1,garantia,57995,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\10 57156 Comité de Produc Caprinos de la Comuna de Río Ibáñez.jpeg,AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\10 57156 Comité de Produc Caprinos de la Comuna de Río Ibáñez.jpeg,10 57156 Comité de Produc Caprinos de la Comuna de Río Ibáñez.jpeg,.jpeg,81.3,57156,,1,garantia,57156,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\11 57548 Taller Artelanas Chile Chico.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\11 57548 Taller Artelanas Chile Chico.pdf,11 57548 Taller Artelanas Chile Chico.pdf,.pdf,581.8,57548,,1,garantia,57548,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\12 57882 CAM CORAZONES JOVENES PTO IBAÑEZ.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\12 57882 CAM CORAZONES JOVENES PTO IBAÑEZ.pdf,12 57882 CAM CORAZONES JOVENES PTO IBAÑEZ.pdf,.pdf,954.9,57882,,1,garantia,57882,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\13 59925 Red de Profesores de E FY téc deportivos de Aysén.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\13 59925 Red de Profesores de E FY téc deportivos de Aysén.pdf,13 59925 Red de Profesores de E FY téc deportivos de Aysén.pdf,.pdf,666.1,59925,,1,garantia,59925,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\14 59609 comité recolectoras las collallas.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\14 59609 comité recolectoras las collallas.pdf,14 59609 comité recolectoras las collallas.pdf,.pdf,809.0,59609,,1,garantia,59609,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\15 57710 CPA jardín familiar cuncunita Prmb.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\15 57710 CPA jardín familiar cuncunita Prmb.pdf,15 57710 CPA jardín familiar cuncunita Prmb.pdf,.pdf,513.2,57710,,1,garantia,57710,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\16 59478 TALLER ART CAMPESINO S Y C RAICES DE MAÑIHUALES.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\16 59478 TALLER ART CAMPESINO S Y C RAICES DE MAÑIHUALES.pdf,16 59478 TALLER ART CAMPESINO S Y C RAICES DE MAÑIHUALES.pdf,.pdf,704.5,59478,,1,garantia,59478,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\18 59888 CLUB DE ADULTOS MAYORES EL CONDOR.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\18 59888 CLUB DE ADULTOS MAYORES EL CONDOR.pdf,18 59888 CLUB DE ADULTOS MAYORES EL CONDOR.pdf,.pdf,874.3,59888,,1,garantia,59888,1
