fuente,ruta_completa,ruta_relativa,nombre_archivo,extension,tamano_kb,folio_principal,folios_multiples,n_folios_detectados,categoria
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/57976 - AGRUPACION SOCIAL CULTURAL ARTISTICA DEPORTIVA VIDA Y ARMONIA/Res. Adjudicación REX 95-2022.pdf,01. ARICA - FFOIP/57976 - AGRUPACION SOCIAL CULTURAL ARTISTICA DEPORTIVA VIDA Y ARMONIA/Res. Adjudicación REX 95-2022.pdf,Res. Adjudicación REX 95-2022.pdf,.pdf,1246.1,57976,,1,acto_administrativo
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/57976 - AGRUPACION SOCIAL CULTURAL ARTISTICA DEPORTIVA VIDA Y ARMONIA/Convenio - 57976.pdf,01. ARICA - FFOIP/57976 - AGRUPACION SOCIAL CULTURAL ARTISTICA DEPORTIVA VIDA Y ARMONIA/Convenio - 57976.pdf,Convenio - 57976.pdf,.pdf,3996.6,57976,,1,convenio
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/56962 - ASOC INDIGENA COORDINADORA MUJERES PUEBLOS ORIGINARIOS/Resolución Exenta N° 155-2022.pdf,01. ARICA - FFOIP/56962 - ASOC INDIGENA COORDINADORA MUJERES PUEBLOS ORIGINARIOS/Resolución Exenta N° 155-2022.pdf,Resolución Exenta N° 155-2022.pdf,.pdf,2168.4,56962,,1,acto_administrativo
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/56962 - ASOC INDIGENA COORDINADORA MUJERES PUEBLOS ORIGINARIOS/Egreso - 56962.pdf,01. ARICA - FFOIP/56962 - ASOC INDIGENA COORDINADORA MUJERES PUEBLOS ORIGINARIOS/Egreso - 56962.pdf,Egreso - 56962.pdf,.pdf,13.9,56962,,1,otro
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/56962 - ASOC INDIGENA COORDINADORA MUJERES PUEBLOS ORIGINARIOS/Res. Adjudicación REX 95-2022.pdf,01. ARICA - FFOIP/56962 - ASOC INDIGENA COORDINADORA MUJERES PUEBLOS ORIGINARIOS/Res. Adjudicación REX 95-2022.pdf,Res. Adjudicación REX 95-2022.pdf,.pdf,1246.1,56962,,1,acto_administrativo
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/56962 - ASOC INDIGENA COORDINADORA MUJERES PUEBLOS ORIGINARIOS/Convenio - 56962.pdf,01. ARICA - FFOIP/56962 - ASOC INDIGENA COORDINADORA MUJERES PUEBLOS ORIGINARIOS/Convenio - 56962.pdf,Convenio - 56962.pdf,.pdf,1879.9,56962,,1,convenio
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/56962 - ASOC INDIGENA COORDINADORA MUJERES PUEBLOS ORIGINARIOS/Garantía - 56962.pdf,01. ARICA - FFOIP/56962 - ASOC INDIGENA COORDINADORA MUJERES PUEBLOS ORIGINARIOS/Garantía - 56962.pdf,Garantía - 56962.pdf,.pdf,293.9,56962,,1,garantia
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/58129 - ORGANIZACION SOCIAL CULTURAL CREANDO CON EL CORAZON/Convenio - 58129.pdf,01. ARICA - FFOIP/58129 - ORGANIZACION SOCIAL CULTURAL CREANDO CON EL CORAZON/Convenio - 58129.pdf,Convenio - 58129.pdf,.pdf,4070.6,58129,,1,convenio
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/58129 - ORGANIZACION SOCIAL CULTURAL CREANDO CON EL CORAZON/Resolución Exenta N° 106-2022.pdf,01. ARICA - FFOIP/58129 - ORGANIZACION SOCIAL CULTURAL CREANDO CON EL CORAZON/Resolución Exenta N° 106-2022.pdf,Resolución Exenta N° 106-2022.pdf,.pdf,1192.4,58129,,1,acto_administrativo
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/58129 - ORGANIZACION SOCIAL CULTURAL CREANDO CON EL CORAZON/Egreso - 58129.pdf,01. ARICA - FFOIP/58129 - ORGANIZACION SOCIAL CULTURAL CREANDO CON EL CORAZON/Egreso - 58129.pdf,Egreso - 58129.pdf,.pdf,12.6,58129,,1,otro
