region,folio,tipo,accion,detalle
RM,56651,convenio,OK,CONVENIO JUNTA DE VECINOS UNIÓN AMERICANA Y YERBAS BUENAS.pdf → Convenio - 56651.pdf (score=3)
RM,56651,resolucion,OK,272-714.pdf → Resolución - 56651.pdf
RM,56666,egreso,OK,65160065-0.pdf → Egreso - 56666.pdf
RM,56666,convenio,SIN_MATCH_RAZON,mejor_score=1 razon=ONG VIDA DIGNA
RM,56666,resolucion,OK,272-714.pdf → Resolución - 56666.pdf
RM,56734,egreso,OK,65102262-2.pdf → Egreso - 56734.pdf
RM,56734,convenio,OK,CONVENIO - LAS PARCELAS DE PAJARITOS20220718_10370842.pdf → Convenio - 56734.pdf (score=2)
RM,56734,resolucion,OK,272-714.pdf → Resolución - 56734.pdf
RM,56904,egreso,OK,53334304-K.pdf → Egreso - 56904.pdf
RM,56904,convenio,OK,CONVENIO UNION COMUNAL DE ADULTOS MAYORES LA PINTANA.pdf → Convenio - 56904.pdf (score=3)
RM,56904,resolucion,OK,272-714.pdf → Resolución - 56904.pdf
RM,56936,egreso,OK,65361420-9.pdf → Egreso - 56936.pdf
RM,56936,convenio,SIN_MATCH_RAZON,mejor_score=1 razon=CLUB DE ADULTO MAYOR LAS ABEJITAS HACEDO
RM,56936,resolucion,OK,272-714.pdf → Resolución - 56936.pdf
RM,56943,egreso,SIN_MATCH_RUT,RUT=65190926-0
RM,56943,convenio,OK,CONVENIO - FUNDACION EMBAJADA DEL INMIGRANTE-FEDI20220706_17020769.pdf → Convenio - 56943.pdf (score=2)
RM,56943,resolucion,OK,272-715.pdf → Resolución - 56943.pdf
RM,56950,egreso,OK,65192521-5.pdf → Egreso - 56950.pdf
RM,56950,convenio,OK,CONVENIO CLUB DE ADULTO MAYOR EL TAQUITO DE CHICAUMA.pdf → Convenio - 56950.pdf (score=2)
RM,56950,resolucion,OK,272-714.pdf → Resolución - 56950.pdf
RM,56985,egreso,OK,65116312-9.pdf → Egreso - 56985.pdf
RM,56985,convenio,SIN_MATCH_RAZON,mejor_score=1 razon=MUDET MUJER DESAFIO TRABAJO
RM,56985,resolucion,OK,272-714.pdf → Resolución - 56985.pdf
RM,56992,egreso,OK,65207688-2.pdf → Egreso - 56992.pdf
RM,56992,convenio,SIN_MATCH_RAZON,mejor_score=1 razon=CLUB DEPORTIVO Y CULTURAL SOCIAL MADRID
RM,56992,resolucion,OK,272-714.pdf → Resolución - 56992.pdf
RM,57013,egreso,OK,65031520-0.pdf → Egreso - 57013.pdf
RM,57013,convenio,SIN_MATCH_RAZON,mejor_score=1 razon=JUNTA DE VECINOS A-17 JOSE MIGUEL CARRER
RM,57013,resolucion,OK,272-714.pdf → Resolución - 57013.pdf
RM,57209,egreso,OK,65050245-0.pdf → Egreso - 57209.pdf
RM,57209,convenio,SIN_MATCH_RAZON,mejor_score=1 razon=AGRUPACIÓN SOCIAL Y CULTURAL ARTESANOS Y
RM,57209,resolucion,OK,272-714.pdf → Resolución - 57209.pdf
RM,57329,egreso,OK,65031877-3.pdf → Egreso - 57329.pdf
RM,57329,convenio,OK,CONVENIO CAM SANTA TERESITA NIÑO JESUS.pdf → Convenio - 57329.pdf (score=3)
RM,57329,resolucion,OK,272-714.pdf → Resolución - 57329.pdf
RM,57377,egreso,OK,65605810-2.pdf → Egreso - 57377.pdf
RM,57377,convenio,OK,CONVENIO CENTRO CULTURAL Y DEPORTIVO OCUPANDO ESPACIOS.pdf → Convenio - 57377.pdf (score=2)
RM,57377,resolucion,OK,272-714.pdf → Resolución - 57377.pdf
RM,57609,egreso,SIN_MATCH_RUT,RUT=65148703-K
